Player,Team,Gms,Rec,Yds,Avg,YPG,Lg,TD,FD,Tar,YAC
Michael Thomas,NO,16,125,1405,11.24,87.8,72t,9,75,147,531
Zach Ertz,PHI,16,116,1163,10.03,72.7,34,8,66,156,353
DeAndre Hopkins,HOU,16,115,1572,13.67,98.2,49t,11,81,163,391
Julio Jones,ATL,16,113,1677,14.84,104.8,58,8,80,170,449
Adam Thielen,MIN,16,113,1373,12.15,85.8,68,9,74,153,438
JuJu Smith-Schuster,PIT,16,111,1426,12.85,89.1,97t,7,67,166,644
Davante Adams,GB,15,111,1386,12.49,92.4,57,13,64,169,475
Christian McCaffrey,CAR,16,107,867,8.1,54.2,38,6,41,124,842
Antonio Brown,PIT,15,104,1297,12.47,86.5,78t,15,63,168,485
Travis Kelce,KC,16,103,1336,12.97,83.5,43,10,68,150,569
Stefon Diggs,MIN,15,102,1021,10.01,68.1,75t,9,49,149,453
Keenan Allen,LAC,16,97,1196,12.33,74.8,54,6,62,136,403
Saquon Barkley,NYG,16,91,721,7.92,45.1,57t,4,30,121,768
George Kittle,SF,16,88,1377,15.65,86.1,85t,5,60,136,870
Tyreek Hill,KC,16,87,1479,17,92.4,75t,12,60,137,570
James White,NE,16,87,751,8.63,46.9,42,7,38,123,665
Mike Evans,TB,16,86,1524,17.72,95.2,72t,8,69,138,287
Robert Woods,LA,16,86,1219,14.17,76.2,39t,6,66,130,420
Jarvis Landry,CLE,16,81,976,12.05,61,51t,4,44,149,255
Alvin Kamara,NO,15,81,709,8.75,47.3,42,4,31,105,642
Brandin Cooks,LA,16,80,1204,15.05,75.2,57,5,56,117,346
Odell Beckham Jr.,NYG,12,77,1052,13.66,87.7,51,6,51,124,292
Ezekiel Elliott,DAL,15,77,567,7.36,37.8,38t,3,22,95,576
T.Y. Hilton,IND,14,76,1270,16.71,90.7,68t,6,55,120,464
Tyler Boyd,CIN,14,76,1028,13.53,73.4,49,7,54,108,426
Adam Humphries,TB,16,76,816,10.74,51,51,5,48,105,420
Amari Cooper,DAL,15,75,1005,13.4,67,90t,7,53,107,415
Julian Edelman,NE,12,74,850,11.49,70.8,36,6,41,108,348
Golden Tate,PHI,15,74,795,10.74,53,67,4,33,113,433
Emmanuel Sanders,DEN,12,71,868,12.23,72.3,64t,4,36,98,322
Tarik Cohen,CHI,16,71,725,10.21,45.3,70t,5,29,91,513
Austin Hooper,ATL,16,71,660,9.3,41.2,36,4,30,88,232
Kenny Golladay,DET,15,70,1063,15.19,70.9,60,5,56,119,350
Larry Fitzgerald,ARI,16,69,734,10.64,45.9,37,6,39,112,205
Jared Cook,OAK,16,68,896,13.18,56,45,6,46,101,343
Jalen Richard,OAK,16,68,607,8.93,37.9,32,0,23,81,495
Taylor Gabriel,CHI,16,67,688,10.27,43,54,2,31,93,226
Sterling Shepard,NYG,16,66,872,13.21,54.5,58,4,47,107,309
